,0
0,0.012173376502566651
1,0.012509335327431129
2,0.009994759050515636
3,0.011426580153187722
4,0.00855098895513173
5,0.011051501136001144
6,0.007641781980801048
7,0.011310597550387888
8,0.007204296571592478
9,0.012297129003473354
10,0.007319225385572321
11,0.014367463332098625
12,0.008337259342036208
13,0.018520262265165184
14,0.011405126815321043
15,0.027977462457275365
16,0.021147215453569918
17,0.058179256084798965
18,0.07069558078988289
19,0.3130486839335605
20,1.0
21,0.7536041411318379
22,0.32503982353418787
23,0.057250895076247595
24,0.06085967948673354
25,0.02521331588743766
26,0.03945532077679682
27,0.02725766824983503
28,0.0438347395806425
29,0.0445606635738091
30,0.06892827190413317
31,0.08816663851240863
32,0.13573357890601948
33,0.19507480475046377
34,0.28657608115229155
35,0.3496263177786734
36,0.3324551092613284
37,0.24539240310779106
38,0.17021469998086813
39,0.11465077984196308
40,0.08303892467729174
41,0.05971007683896166
42,0.04682556668045843
43,0.03598370310929747
44,0.029838567693516456
45,0.024371541672534122
46,0.020796677853611743
47,0.018117219721129667
48,0.015498376476654517
49,0.014554763314903744
