,0
0,0.05815669418199292
1,0.05780597987427855
2,0.057531473184657775
3,0.057347284904136445
4,0.05724004771226311
5,0.057227388264146535
6,0.05729479455383259
7,0.05746363632123414
8,0.057718463083266704
9,0.05808472193349794
10,0.05854634351017994
11,0.05913333301953389
12,0.05982948312361496
13,0.060670044326925826
14,0.06163938655898027
15,0.06277899030592825
16,0.0640748636109279
17,0.06557613735445329
18,0.06727203291341075
19,0.06922139584650396
20,0.07141900257393134
21,0.07393642712903743
22,0.07677747050387301
23,0.08003081860256607
24,0.08371435851652713
25,0.08794011890260228
26,0.09274713685673
27,0.0982790521114921
28,0.10460478268018494
29,0.11190847837719835
30,0.12029587536646669
31,0.12999397977750746
32,0.1411368280961434
33,0.15396570830130024
34,0.16857805014318
35,0.1851060365245422
36,0.20339976548199482
37,0.22316178747061993
38,0.2435728291150149
39,0.2634736228482719
40,0.2811563801540485
41,0.29493648509313053
42,0.30338195221865866
43,0.30613925839772566
44,0.3038599404757652
45,0.29829172358827083
46,0.2914310712703314
47,0.2853472604407841
48,0.28153867054904413
49,0.28120839589168695
50,0.2849208602047922
51,0.2929983046478676
52,0.3050556228680031
53,0.3202273016762434
54,0.3365241313793973
55,0.35120296546756197
56,0.36071554409732715
57,0.3621934193432196
58,0.3542119889311309
59,0.3378945062408356
60,0.31584603153623886
61,0.2914575852029169
62,0.26730540781304135
63,0.24531542290138889
64,0.22623622930304602
65,0.21054209489614056
66,0.1980434608442226
67,0.18876531953433184
68,0.18234957206268126
69,0.17887466955305856
70,0.17811098017060023
71,0.18037941282428707
72,0.1857169163044724
73,0.19484193145444081
74,0.2082581169445779
75,0.22739373338466345
76,0.25367805029167617
77,0.2899496797291367
78,0.3395196278314256
79,0.4077741812064072
80,0.5004312443631714
81,0.6227214142081176
82,0.7698521379812391
83,0.9142875858885323
84,1.0
85,0.9885974881170372
86,0.9095582859041564
87,0.8342901018196156
88,0.8095532104006469
89,0.8103647973501851
90,0.7296555589226497
91,0.5707789134155907
92,0.4318800836506114
93,0.3369731589216962
94,0.2750761468176659
95,0.23296147941205989
96,0.20382102441794553
97,0.1825123401955961
98,0.16703137768717963
99,0.15520088532799695
100,0.1464781858151091
101,0.13971965310663093
102,0.13486269567080894
103,0.13119680809210912
104,0.12883395108914092
105,0.12727890415276943
106,0.12671010683363657
107,0.1267555230295097
108,0.12761817951958782
109,0.12900529861606544
110,0.13112770940740404
111,0.1337490510204442
112,0.13708171033284192
113,0.14093323097060392
114,0.14551612221502025
115,0.15067487014801348
116,0.1566229780009668
117,0.16323804231142738
118,0.17073641093494757
119,0.1790265278907676
120,0.18832930960982017
121,0.19858180571381845
122,0.21000952147737284
123,0.2225735862910205
124,0.23649955010707843
125,0.2517617687163886
126,0.268571486774246
127,0.2868921201675701
128,0.3068877429686508
129,0.32846282290894224
130,0.35167136430317153
131,0.3762761157110537
132,0.40212127090964395
133,0.4287132425107762
134,0.4555708933658114
135,0.481847115449992
136,0.5066907121459481
137,0.5289468881651179
138,0.5475708725836917
139,0.5614260386764527
140,0.5697336244236274
141,0.5718999610749076
142,0.5678931006941532
143,0.5579752065403738
144,0.5429185287900461
145,0.5236251881388337
146,0.5012463919465033
147,0.4768033964924065
148,0.45133140357433277
149,0.4255877506254533
150,0.4002579300469518
151,0.3757427024141059
152,0.35239334470344663
153,0.3303358565675779
154,0.30969984142848045
155,0.29045322835710563
156,0.27260994272826977
157,0.25606752338983485
158,0.240792561522523
159,0.22666230746618024
160,0.21363131668497887
161,0.20157990983439222
162,0.1904654913555256
163,0.18018001959340985
164,0.17068835942009472
165,0.16189588156321275
166,0.15377522063436358
167,0.1462443892682966
168,0.13928269152334885
169,0.13281934752048896
170,0.12683898804090465
171,0.12128062398958858
172,0.1161329978993856
173,0.11134368941668311
174,0.1069045324240064
175,0.10277065418004373
176,0.09893613292626474
177,0.09536279070570174
178,0.09204624333662707
179,0.08895429200194208
180,0.08608349726478001
181,0.08340703830124689
182,0.08092192298843529
183,0.07860620561801406
184,0.07645692571637287
185,0.07445659561644696
186,0.07260194168518397
187,0.07087959270990767
188,0.06928567868336936
189,0.06781066992468618
190,0.06644987047858056
191,0.06519737647840493
192,0.06404748345764702
193,0.06299775085271751
194,0.06204132497618063
195,0.061179114905876096
196,0.06040301540094891
197,0.05971721788749187
198,0.059112300089026876
199,0.05859571456715865
